城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
宁波,2024-01,二手住宅,全部,99.4,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,新建商品住宅,90m2及以下,99.8,99.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,新建商品住宅,90-144m2,99.8,99.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,新建商品住宅,144m2以上,99.0,101.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,二手住宅,90m2及以下,99.4,94.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,二手住宅,90-144m2,99.4,94.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
宁波,2024-01,二手住宅,144m2以上,99.2,95.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,新建商品住宅,全部,99.4,99.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,二手住宅,全部,98.9,95.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,新建商品住宅,90m2及以下,99.6,97.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,新建商品住宅,90-144m2,99.7,99.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,新建商品住宅,144m2以上,98.6,99.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,二手住宅,90m2及以下,99.0,94.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,二手住宅,90-144m2,99.0,95.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
合肥,2024-01,二手住宅,144m2以上,98.5,96.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,新建商品住宅,全部,99.6,97.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,二手住宅,全部,99.6,94.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,新建商品住宅,90m2及以下,99.7,98.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,新建商品住宅,90-144m2,99.4,96.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,新建商品住宅,144m2以上,99.9,98.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,二手住宅,90m2及以下,99.6,94.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,二手住宅,90-144m2,99.7,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
福州,2024-01,二手住宅,144m2以上,99.5,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,新建商品住宅,全部,99.2,96.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,二手住宅,全部,98.9,92.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,新建商品住宅,90m2及以下,99.1,94.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,新建商品住宅,90-144m2,98.9,96.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,新建商品住宅,144m2以上,99.8,96.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,二手住宅,90m2及以下,98.6,92.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,二手住宅,90-144m2,99.3,91.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
厦门,2024-01,二手住宅,144m2以上,98.9,91.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,新建商品住宅,全部,99.0,97.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,二手住宅,全部,99.5,95.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,新建商品住宅,90m2及以下,99.1,98.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,新建商品住宅,90-144m2,99.0,97.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,新建商品住宅,144m2以上,98.7,97.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,二手住宅,90m2及以下,99.6,94.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,二手住宅,90-144m2,99.3,95.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
南昌,2024-01,二手住宅,144m2以上,99.9,94.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,新建商品住宅,全部,99.8,101.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,二手住宅,全部,99.8,97.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
